angle_serv,id,angle,lenght
89.560546875,15,354.5625,2121.25
89.560546875,15,355.9375,2103.25
89.560546875,15,357.28125,2110.25
89.560546875,15,358.65625,2109.0
89.560546875,15,0.03125,2111.0
89.560546875,15,1.40625,2111.75
89.560546875,15,2.765625,2114.25
89.560546875,15,4.15625,2118.25
89.560546875,15,5.46875,2118.0
89.560546875,15,6.859375,2123.75
89.560546875,15,8.21875,2141.25
89.560546875,15,9.59375,2151.75
89.560546875,15,10.921875,2159.0
89.560546875,15,12.296875,2164.5
89.560546875,15,13.625,2176.75
89.560546875,15,15.015625,2184.0
89.560546875,15,16.359375,2207.5
89.560546875,15,17.71875,2230.5
89.560546875,10,24.21875,346.5
89.560546875,6,25.171875,346.0
89.560546875,15,27.09375,341.25
89.560546875,15,28.5,334.0
89.560546875,15,29.65625,321.75
89.560546875,15,31.0625,315.25
89.560546875,15,32.71875,315.25
89.560546875,15,36.46875,319.5
89.560546875,15,37.9375,323.75
89.560546875,15,39.53125,332.5
89.560546875,10,42.109375,338.25
89.560546875,10,43.921875,300.25
89.560546875,15,47.609375,3211.5
89.560546875,15,48.953125,3281.25
89.560546875,15,50.3125,3394.75
89.560546875,15,51.671875,3507.0
89.560546875,15,53.015625,3627.75
89.560546875,15,54.375,3757.0
89.560546875,15,55.71875,3872.25
89.560546875,15,57.0625,3998.0
89.560546875,15,58.421875,4099.25
89.560546875,15,81.34375,134.0
89.560546875,15,83.75,134.0
89.560546875,15,85.8125,133.5
89.560546875,15,87.1875,133.5
89.560546875,15,86.8125,133.5
89.560546875,15,88.171875,133.5
89.560546875,15,91.0625,133.5
89.560546875,15,92.203125,133.75
89.560546875,15,92.203125,133.75
89.560546875,13,94.421875,135.25
89.560546875,12,100.515625,940.25
89.560546875,15,101.828125,936.75
89.560546875,15,103.203125,943.75
89.560546875,15,104.5,950.75
89.560546875,15,105.8125,953.5
89.560546875,15,107.15625,963.0
89.560546875,14,109.734375,553.0
89.560546875,14,111.28125,518.25
89.560546875,15,112.5625,499.0
89.560546875,13,113.953125,491.0
89.560546875,15,115.375,492.0
89.560546875,15,116.734375,491.0
89.560546875,15,118.078125,487.25
89.560546875,15,119.578125,483.5
89.560546875,15,120.96875,480.5
89.560546875,15,122.265625,479.25
89.560546875,15,123.609375,477.75
89.560546875,15,125.0625,482.0
89.560546875,15,126.28125,492.25
89.560546875,13,129.09375,357.25
89.560546875,13,130.71875,335.75
89.560546875,15,131.78125,323.75
89.560546875,15,133.328125,314.5
89.560546875,15,135.328125,307.0
89.560546875,14,136.53125,300.25
89.560546875,15,137.71875,293.25
89.560546875,15,139.859375,287.5
89.560546875,15,141.59375,285.25
89.560546875,15,143.09375,281.0
89.560546875,15,144.171875,278.5
89.560546875,15,144.8125,278.0
89.560546875,15,147.125,274.75
89.560546875,15,150.734375,299.75
89.560546875,15,151.40625,304.75
89.560546875,7,157.125,214.5
89.560546875,10,158.5,212.0
89.560546875,9,159.859375,207.5
89.560546875,11,160.546875,205.0
89.560546875,9,162.578125,202.5
89.560546875,8,163.953125,197.5
89.560546875,15,171.8125,299.75
89.560546875,15,173.75,295.0
89.560546875,15,174.78125,292.25
89.560546875,15,176.25,291.0
89.560546875,15,177.34375,291.0
89.560546875,15,178.78125,292.75
89.560546875,15,180.03125,296.0
89.560546875,15,182.046875,301.75
89.560546875,15,184.796875,339.5
89.560546875,15,186.34375,342.75
89.560546875,15,187.40625,352.0
89.560546875,15,191.796875,842.5
89.560546875,15,193.140625,854.5
89.560546875,15,340.265625,2286.75
89.560546875,15,341.609375,2233.0
89.560546875,15,343.0,2203.5
89.560546875,15,344.34375,2173.75
89.560546875,15,345.75,2162.0
89.560546875,15,347.0625,2159.0
89.560546875,15,348.421875,2155.25
89.560546875,15,349.796875,2141.25
90.3515625,15,351.1875,2135.25
90.3515625,15,352.5625,2124.0
90.3515625,15,353.921875,2130.25
90.3515625,15,355.265625,2120.0
90.3515625,15,356.640625,2123.25
90.3515625,15,358.015625,2122.75
90.3515625,15,359.375,2131.5
90.3515625,15,0.71875,2123.75
90.3515625,15,2.09375,2135.75
90.3515625,15,3.46875,2140.25
90.3515625,15,4.84375,2141.5
90.3515625,15,6.1875,2156.0
90.3515625,15,7.5625,2159.75
90.3515625,15,8.90625,2168.0
90.3515625,15,10.25,2176.25
90.3515625,15,11.640625,2194.75
90.3515625,15,13.015625,2214.75
90.3515625,15,14.40625,2222.75
90.3515625,15,15.734375,2254.25
90.3515625,7,20.25,382.75
90.3515625,15,22.359375,343.0
90.3515625,15,24.4375,308.75
90.3515625,15,25.25,318.5
90.3515625,15,26.390625,321.0
90.3515625,15,28.046875,322.75
90.3515625,15,29.21875,320.25
90.3515625,15,31.28125,290.5
90.3515625,15,33.21875,273.25
90.3515625,15,34.921875,275.75
90.3515625,15,35.234375,278.25
90.3515625,15,37.515625,281.25
90.3515625,15,37.6875,286.5
90.3515625,15,39.265625,287.0
90.3515625,15,40.78125,288.5
90.3515625,15,42.359375,291.0
90.3515625,15,43.21875,295.25
90.3515625,15,44.859375,302.5
90.3515625,15,46.296875,314.5
90.3515625,15,49.921875,3514.0
90.3515625,15,51.296875,3626.5
90.3515625,15,52.640625,3731.25
90.3515625,15,54.0,3849.0
90.3515625,15,55.359375,3986.25
90.3515625,15,56.734375,4057.75
90.3515625,15,58.109375,4018.75
90.3515625,15,59.59375,3983.25
90.3515625,15,61.0,3934.0
90.3515625,15,62.375,3877.75
90.3515625,15,63.75,3776.75
90.3515625,15,69.984375,396.25
90.3515625,15,71.453125,389.5
90.3515625,15,72.515625,383.75
90.3515625,15,74.1875,368.25
90.3515625,15,75.75,364.75
90.3515625,15,77.078125,362.25
90.3515625,15,78.640625,364.5
90.3515625,15,80.6875,323.5
90.3515625,15,82.828125,291.25
90.3515625,15,84.171875,280.5
90.3515625,15,85.859375,282.75
90.3515625,15,90.921875,979.25
90.3515625,15,92.265625,970.25
90.3515625,15,93.671875,969.75
90.3515625,15,95.015625,971.5
90.3515625,15,96.421875,974.75
90.3515625,15,97.765625,974.25
90.3515625,15,99.140625,974.25
90.3515625,15,100.5625,977.5
90.3515625,15,101.90625,967.0
90.3515625,15,103.3125,960.25
90.3515625,15,104.65625,964.25
90.3515625,15,107.328125,529.75
90.3515625,14,108.84375,505.0
90.3515625,15,110.21875,485.5
90.3515625,15,111.875,470.25
90.3515625,15,113.40625,467.0
90.3515625,15,114.5625,476.5
90.3515625,15,115.984375,477.25
90.3515625,15,117.234375,477.0
90.3515625,15,118.59375,477.5
90.3515625,15,120.1875,472.0
90.3515625,15,121.515625,471.5
90.3515625,15,122.71875,482.5
90.3515625,14,125.28125,342.5
90.3515625,13,126.953125,321.25
90.3515625,14,128.828125,310.5
90.3515625,15,129.828125,302.25
90.3515625,15,132.03125,293.25
90.3515625,15,133.4375,286.25
90.3515625,15,134.671875,282.0
90.3515625,15,136.421875,278.5
90.3515625,15,138.09375,273.25
90.3515625,15,139.203125,270.5
90.3515625,13,140.71875,271.25
90.3515625,13,141.40625,280.25
90.3515625,15,142.890625,282.75
90.3515625,15,144.375,284.25
90.3515625,15,145.3125,286.25
90.3515625,15,146.40625,290.0
90.3515625,15,148.25,294.75
90.3515625,15,148.8125,301.5
90.3515625,15,153.671875,351.25
90.3515625,15,154.875,345.25
90.3515625,15,156.703125,343.75
90.3515625,15,157.859375,346.5
90.3515625,15,159.171875,347.75
90.3515625,15,160.3125,351.75
90.3515625,15,161.6875,365.5
90.3515625,15,163.171875,818.75
90.3515625,15,164.515625,818.0
90.3515625,15,165.875,812.0
90.3515625,15,167.265625,807.25
90.3515625,15,168.578125,806.25
90.3515625,15,169.984375,800.0
90.3515625,15,171.40625,793.75
90.3515625,15,172.734375,791.5
90.3515625,15,174.078125,790.75
90.3515625,15,175.375,788.5
90.3515625,15,176.734375,784.0
90.3515625,15,178.21875,770.0
90.3515625,15,179.5,781.0
90.3515625,15,182.59375,581.0
90.3515625,15,183.765625,582.0
90.3515625,15,185.125,583.0
90.3515625,15,186.40625,584.0
90.3515625,15,187.84375,588.75
90.3515625,15,189.078125,608.5
90.3515625,15,190.296875,637.75
90.3515625,12,197.046875,178.0
90.3515625,15,198.390625,177.5
90.3515625,15,206.359375,204.5
90.3515625,15,207.6875,210.75
90.3515625,15,209.015625,212.0
90.3515625,15,346.640625,2244.75
90.3515625,15,347.515625,2222.5
90.3515625,15,348.75,2190.25
90.3515625,15,349.96875,2174.0
90.966796875,15,351.140625,2174.5
90.966796875,15,352.359375,2169.25
90.966796875,15,353.546875,2165.0
90.966796875,15,354.734375,2162.0
90.966796875,15,355.9375,2160.25
90.966796875,15,357.140625,2158.5
90.966796875,15,358.34375,2155.5
90.966796875,15,359.546875,2148.25
90.966796875,15,0.71875,2159.0
90.966796875,15,1.90625,2160.75
90.966796875,15,3.09375,2160.75
90.966796875,15,4.296875,2162.5
90.966796875,15,5.515625,2167.5
90.966796875,15,6.703125,2168.0
90.966796875,15,7.890625,2172.75
90.966796875,15,9.0625,2178.5
90.966796875,15,10.25,2200.5
90.966796875,15,11.75,2213.5
90.966796875,15,12.984375,2206.25
90.966796875,15,14.203125,2226.5
90.966796875,15,15.40625,2234.25
90.966796875,15,16.59375,2265.5
90.966796875,15,17.796875,2269.75
90.966796875,15,19.03125,2288.25
90.966796875,15,20.21875,2326.0
90.966796875,14,24.90625,364.0
90.966796875,15,26.25,351.75
90.966796875,15,28.203125,316.0
90.966796875,15,29.265625,307.25
90.966796875,15,31.03125,298.25
90.966796875,15,32.21875,290.75
90.966796875,15,33.0625,286.5
90.966796875,15,34.625,282.75
90.966796875,15,36.21875,280.0
90.966796875,15,36.703125,280.5
90.966796875,15,38.171875,277.25
90.966796875,15,40.515625,272.25
90.966796875,15,41.390625,271.25
90.966796875,15,42.390625,272.5
90.966796875,15,43.375,274.25
90.966796875,15,45.015625,269.75
90.966796875,15,46.703125,269.5
90.966796875,15,47.46875,271.0
90.966796875,15,48.15625,273.75
90.966796875,15,49.8125,279.0
90.966796875,15,54.5,3865.5
90.966796875,15,55.734375,3894.5
90.966796875,15,60.265625,413.75
90.966796875,15,61.9375,395.25
90.966796875,15,62.84375,388.0
90.966796875,15,64.296875,381.25
90.966796875,15,65.75,375.25
90.966796875,15,67.109375,370.75
90.966796875,15,68.453125,369.75
90.966796875,15,69.6875,366.25
90.966796875,15,70.5,366.5
90.966796875,15,71.984375,360.25
90.966796875,15,73.015625,360.0
90.966796875,15,74.28125,374.25
90.966796875,15,75.828125,354.25
90.966796875,15,77.046875,363.5
90.966796875,15,78.375,356.75
90.966796875,15,79.625,358.75
90.966796875,15,80.78125,358.75
90.966796875,15,81.71875,377.75
90.966796875,15,82.953125,386.75
90.966796875,15,84.71875,346.25
90.966796875,15,85.78125,326.5
90.966796875,15,87.578125,320.5
90.966796875,15,88.703125,326.5
90.966796875,15,89.78125,342.0
90.966796875,13,91.53125,1170.25
90.966796875,15,92.921875,1018.5
90.966796875,15,94.265625,1011.0
90.966796875,15,95.46875,996.5
90.966796875,15,96.703125,991.0
90.966796875,15,97.96875,996.0
90.966796875,15,99.25,1000.25
90.966796875,15,100.484375,994.25
90.966796875,15,101.71875,992.5
90.966796875,15,102.96875,996.0
90.966796875,15,104.15625,1000.75
90.966796875,14,106.671875,557.0
90.966796875,11,107.90625,516.5
90.966796875,15,109.625,489.25
90.966796875,15,111.09375,478.25
90.966796875,15,112.34375,471.75
90.966796875,15,113.546875,464.5
90.966796875,15,114.75,461.25
90.966796875,13,115.921875,463.25
90.966796875,15,117.078125,473.0
90.966796875,15,118.546875,471.5
90.966796875,15,119.609375,470.75
90.966796875,15,120.984375,470.75
90.966796875,15,122.15625,473.75
90.966796875,13,126.0625,339.25
90.966796875,15,127.796875,321.5
90.966796875,15,128.796875,310.5
90.966796875,15,130.8125,301.25
90.966796875,14,131.53125,296.25
90.966796875,15,133.359375,288.0
90.966796875,15,134.078125,283.5
90.966796875,15,136.328125,278.75
90.966796875,15,137.65625,274.0
90.966796875,15,139.1875,271.25
90.966796875,15,140.390625,267.5
90.966796875,15,140.765625,268.5
90.966796875,10,142.453125,276.75
90.966796875,15,143.96875,282.75
90.966796875,15,144.578125,285.25
90.966796875,15,145.734375,288.5
90.966796875,15,146.6875,290.25
90.966796875,15,148.703125,296.5
90.966796875,15,149.125,301.5
90.966796875,15,150.65625,310.75
90.966796875,7,155.453125,232.0
90.966796875,8,158.3125,225.75
90.966796875,7,162.3125,217.0
90.966796875,15,171.59375,794.5
90.966796875,15,174.765625,406.25
90.966796875,15,176.015625,406.25
90.966796875,15,177.296875,412.5
90.966796875,15,178.421875,421.25
90.966796875,15,179.5625,430.75
90.966796875,15,180.625,437.0
90.966796875,15,181.90625,416.75
90.966796875,15,183.546875,421.5
90.966796875,15,184.375,432.5
90.966796875,15,185.453125,448.75
90.966796875,15,186.65625,462.75
90.966796875,15,188.0,481.25
90.966796875,15,189.0625,507.25
90.966796875,15,190.046875,536.25
90.966796875,15,195.421875,825.25
90.966796875,15,196.765625,832.75
